PolY1,PolX1,PolY2,PolX2,PolY3,PolX3,PolY4,PolX4,PolY5,PolX5,PolY6,PolX6
8.881684273,86.20786409,10.79776201,2.869941961,20.36315527,73.10718138,4.702930078,34.34074174,6.883618203,18.88592852,9.268745839,86.01777344
9.268745839,86.01777344,10.41862599,2.629041541,20.62806812,72.53856776,4.791494586,34.38738304,7.113885925,19.00719591,9.654001451,85.81488377
9.654001451,85.81488377,10.03733376,2.400743116,20.88771486,71.96126102,4.879616956,34.43695244,7.343004085,19.13607634,10.03733376,85.59925688
10.03733376,85.59925688,9.654001451,2.185116227,21.1420164,71.37543701,4.967270343,34.48943484,7.570902891,19.27253058,10.41862599,85.37095846
10.41862599,85.37095846,9.268745839,1.982226556,21.39089527,70.78127418,5.054428047,34.54481424,7.797512923,19.41651703,10.79776201,85.13005804
10.79776201,85.13005804,8.881684273,1.792135907,21.63427566,70.17895351,5.141063521,34.60307379,8.022765154,19.56799186,11.17462632,84.876629
11.17462632,84.876629,8.492934657,1.614902182,21.87208344,69.56865847,5.227150373,34.66419574,8.246590969,19.72690891,11.54910412,84.61074855
11.54910412,84.61074855,8.102615407,1.450579368,22.10424616,68.95057498,5.31266238,34.72816145,8.468922189,19.89321978,11.92108135,84.33249767
11.92108135,84.33249767,7.710845418,1.29921752,22.33069312,68.3248913,5.397573496,34.79495147,8.689691089,20.06687381,12.29044471,84.04196113
12.29044471,84.04196113,7.317744027,1.160862744,22.55135532,67.69179802,5.481857854,34.86454542,8.908830422,20.2478181,12.65708167,83.73922741
12.65708167,83.73922741,6.923430977,1.035557184,22.76616556,67.05148799,5.565489783,34.93692213,9.126273435,20.43599754,13.02088055,83.42438874
13.02088055,83.42438874,6.528026379,0.92333901,22.97505841,66.40415626,5.648443805,35.01205954,9.341953893,20.6313548,13.38173055,83.09754101
13.38173055,83.09754101,6.131650678,0.824242404,23.17797022,65.75,5.730694653,35.08993476,9.555806097,20.83383037,13.73952174,82.7587838
13.73952174,82.7587838,5.734424612,0.738297551,23.3748392,65.08921848,5.812217272,35.17052407,9.767764908,21.04336259,14.09414513,82.40822029
14.09414513,82.40822029,5.336469182,0.665530633,23.56560537,64.42201298,5.89298683,35.25380293,9.977765758,21.25988761,14.44549271,82.04595726
14.44549271,82.04595726,4.937905607,0.605963814,23.75021062,63.74858674,5.972978723,35.33974596,10.18574468,21.4833395,14.79345745,81.67210506
14.79345745,81.67210506,4.538855296,0.559615238,23.92859873,63.06914489,6.052168586,35.42832699,10.39163832,21.71365018,15.13793335,81.28677758
15.13793335,81.28677758,4.139439801,0.526499025,24.10071535,62.38389439,6.130532296,35.51951904,10.59538397,21.9507495,15.47881549,80.89009218
