Xrim1,YRim1,XRim2,YRim2,XPaint1,YPaint1,XPaint2,YPaint2,XFC1,YFC1,XFC2,YFC2,X3P1,Y3P1,X3P2,Y3P2,XBackB1,YBackB1,XBackB2,YBackB2,HalfCX,HalfCY,HalfX2,HalfY2,BoundX,BoundY,XNBA3P,YNBA3P,Xbar1,Ybar1,Xbar2,Ybar2,Xbar3,Ybar3,Xbar4,Ybar4,Xbar5,Ybar5,Xbar6,Ybar6,Xbar7,Ybar7,Xbar8,Ybar8,Xbar9,Ybar9,Xbar10,Ybar10,Xbar11,Ybar11,Xbar12,Ybar12,Xbar13,Ybar13,Xbar14,Ybar14,Xbar15,Ybar15
4.729760483,44.58609669,92.96539704,45.06066017,18.8006383,32,78.1993617,32,21.47972649,55.04605824,75.52027351,55.04605824,11.92108135,84.33249767,85.07891865,84.33249767,2.686170213,49.43,94.31382979,49.43,46.03091181,55.04605824,48.5,-7.7,-1,-6,20.71569674,80.90213176,,,,,,,,,,,,,,,,,,,,,,,-0.810422843,38.55181482,1.479567956,38.29945961,5.49551449,37.13253535,7.66042284,38.55181482
4.7242633,44.61010496,92.98523002,45.09703055,18.7906383,32,78.2093617,32,21.58086772,54.96254549,75.41913228,54.96254549,12.29044471,84.04196113,84.70955529,84.04196113,2.686170213,49.42,94.31382979,49.42,45.92977057,54.96254549,48.5,-7.6,-1,-5.8,21.02707255,80.27457787,,,,,,,,,,,,,,,,,,,,,,,-0.773697667,38.50366729,1.44242946,38.23783231,5.5691738,37.15654083,7.62369767,38.50366729
4.718546311,44.63392739,93.00571933,45.13206437,18.7806383,32,78.2193617,32,21.68122604,54.87569344,75.31877396,54.87569344,12.65708167,83.73922741,84.34291833,83.73922741,2.686170213,49.41,94.31382979,49.41,45.82941226,54.87569344,48.5,-7.5,-1,-5.6,21.3330607,79.6359744,,,,,,,,,,,,,,,,,,,,,,,-0.735692553,38.45594604,1.403651179,38.17663805,5.64218094,37.18138294,7.58569255,38.45594604
4.712611255,44.65755672,93.02684001,45.16571894,18.7706383,32,78.2293617,32,21.78077086,54.78552856,75.21922914,54.78552856,13.02088055,83.42438874,83.97911945,83.42438874,2.686170213,49.4,94.31382979,49.4,45.72986743,54.78552856,48.5,-7.4,-1,-5.4,21.63356799,78.98651587,,,,,,,,,,,,,,,,,,,,,,,-0.696419077,38.40866562,1.363244927,38.11589549,5.71451369,37.20705411,7.54641908,38.40866562
4.706459941,44.68098575,93.04856632,45.19795327,18.7606383,32,78.2393617,32,21.87947188,54.69207829,75.12052812,54.69207829,13.38173055,83.09754101,83.61826945,83.09754101,2.686170213,49.39,94.31382979,49.39,45.63116642,54.69207829,48.5,-7.3,-1,-5.2,21.92850288,78.32640011,,,,,,,,,,,,,,,,,,,,,,,-0.655889202,38.36184042,1.321223012,38.05562313,5.78615,37.23354654,7.5058892,38.36184042
4.700094242,44.70420734,93.0708718,45.22872807,18.7506383,32,78.2493617,32,21.97729902,54.59537111,75.02270098,54.59537111,13.73952174,82.7587838,83.26047826,82.7587838,2.686170213,49.38,94.31382979,49.38,45.53333927,54.59537111,48.5,-7.2,-1,-5,22.21777554,77.65582819,,,,,,,,,,,,,,,,,,,,,,,-0.614115273,38.31548471,1.277598233,37.99583932,5.85706806,37.26085214,7.46411527,38.31548471
4.693516098,44.72721443,93.09372927,45.25800585,18.7406383,32,78.2593617,32,22.07422249,54.49543649,74.92577751,54.49543649,14.09414513,82.40822029,82.90585487,82.40822029,2.686170213,49.37,94.31382979,49.37,45.4364158,54.49543649,48.5,-7.1,-1,-4.8,22.50129784,76.97500438,,,,,,,,,,,,,,,,,,,,,,,-0.571110017,38.26961261,1.232383879,37.93656229,5.92724626,37.2889626,7.42111002,38.26961261
4.686727513,44.75,93.11711088,45.28575095,18.7306383,32,78.2693617,32,22.17021277,54.39230485,74.82978723,54.39230485,14.44549271,82.04595726,82.55450729,82.04595726,2.686170213,49.36,94.31382979,49.36,45.34042553,54.39230485,48.5,-7,-1,-4.6,22.77898342,76.28413606,,,,,,,,,,,,,,,,,,,,,,,-0.526886531,38.22423809,1.185593724,37.87781007,5.99666323,37.31786936,7.37688653,38.22423809
4.679730554,44.77255711,93.14098815,45.31192956,18.7206383,32,78.2793617,32,22.2652406,54.28600761,74.7347594,54.28600761,14.79345745,81.67210506,82.20654255,81.67210506,2.686170213,49.35,94.31382979,49.35,45.2453977,54.28600761,48.5,-6.9,-1,-4.4,23.05074771,75.58343368,,,,,,,,,,,,,,,,,,,,,,,-0.481458288,38.17937497,1.13724202,37.81960058,6.06529781,37.34756361,7.33145829,38.17937497
4.672527353,44.7948789,93.16533197,45.33650979,18.7106383,32,78.2893617,32,22.35927705,54.17657715,74.64072295,54.17657715,15.13793335,81.28677758,81.86206665,81.28677758,2.686170213,49.34,94.31382979,49.34,45.15136125,54.17657715,48.5,-6.8,-1,-4.2,23.3165079,74.87311069,,,,,,,,,,,,,,,,,,,,,,,-0.434839126,38.13503692,1.087343494,37.76195154,6.13312912,37.3780363,7.28483913,38.13503692
4.665120103,44.81695855,93.1901127,45.35946168,18.7006383,32,78.2993617,32,22.45229348,54.06404682,74.54770652,54.06404682,15.47881549,80.89009218,81.52118451,80.89009218,2.686170213,49.33,94.31382979,49.33,45.05834482,54.06404682,48.5,-6.7,-1,-4,23.57618306,74.15338344,,,,,,,,,,,,,,,,,,,,,,,-0.387043244,38.09123745,1.035913348,37.70488051,6.15423087,37.38084655,7.23704324,38.09123745
4.657511061,44.83878936,93.21530015,45.38075728,18.6906383,32,78.3093617,32,22.54426154,53.94845087,74.45573846,53.94845087,15.81600002,80.48216971,81.18399998,80.48216971,2.686170213,49.32,94.31382979,49.32,44.96637676,53.94845087,48.5,-6.6,-1,-3.8,23.82969409,73.42447118,,,,,,,,,,,,,,,,,,,,,,,-0.338085202,38.04798989,0.982967246,37.64840488,6.16032223,37.37555315,7.1880852,38.04798989
4.649702546,44.86036465,93.24086361,45.40037064,18.6806383,32,78.3193617,32,22.63515323,53.82982453,74.36484677,53.82982453,16.14938425,80.06313441,80.85061575,80.06313441,2.686170213,49.31,94.31382979,49.31,44.87548507,53.82982453,48.5,-6.5,-1,-3.6,24.07696375,72.68659595,,,,,,,,,,,,,,,,,,,,,,,-0.287979913,38.00530742,0.928521317,37.59254185,6.10004733,37.42879756,7.13797991,38.00530742
4.641696934,44.88167788,93.26677196,45.41827786,18.6706383,32,78.3293617,32,22.72494085,53.70820393,74.27505915,53.70820393,16.47886661,79.63311393,80.52113339,79.63311393,2.686170213,49.3,94.31382979,49.3,44.78569745,53.70820393,48.5,-6.4,-1,-3.4,24.31791673,71.9399825,,,,,,,,,,,,,,,,,,,,,,,-0.23674264,37.96320305,0.872592146,37.53730844,6.04120323,37.48272146,7.08674264,37.96320305
4.633496666,44.90272253,93.29299363,45.43445713,18.6606383,32,78.3393617,32,22.81359706,53.58362612,74.18640294,53.58362612,16.80434675,79.19223926,80.19565325,79.19223926,2.686170213,49.29,94.31382979,49.29,44.69704124,53.58362612,48.5,-6.3,-1,-3.2,24.55247964,71.18485826,,,,,,,,,,,,,,,,,,,,,,,-0.184388989,37.92168959,0.815196769,37.48272146,5.98380785,37.53730844,7.03438899,37.92168959
