Left,Right
Duquesne Dukes,UIC Flames
New Orleans Privateers,Pensacola Christian College Eagles
Texas A&M-Corpus Christi Islanders,UT Rio Grande Valley Vaqueros
Central Arkansas Bears,University of the Ozarks Eagles
South Dakota Coyotes,Northern Arizona Lumberjacks
UIW Cardinals,Texas Lutheran Bulldogs
Arkansas State Red Wolves,Missouri Baptist Spartans
Grand Canyon Antelopes,Jacksonville Dolphins
Montana Grizzlies,Montana Tech Orediggers
UC Irvine Anteaters,Life Pacific Warriors
San Francisco Dons,Sonoma State Seawolves
Bethune-Cookman Wildcats,Trinity Baptist Eagles
Bucknell Bison,Canisius Golden Griffins
Central Connecticut State Blue Devils,Massachusetts-Lowell River Hawks
Charleston Cougars,Rhode Island Rams
Cleveland State Vikings,Urbana Blue Knights
Dartmouth Big Green,Elms College Blazers
Delaware Fightin' Blue Hens,Chestnut Hill Griffins
Eastern Kentucky Colonels,Midway Eagles
Furman Paladins,Gardner-Webb Runnin' Bulldogs
Georgia Southern Eagles,George Mason Patriots
Georgia State Panthers,Mercer Bears
Howard Bison,Regent Royals
Kent State Golden Flashes,Shawnee State Bears
Lehigh Mountain Hawks,Marist Red Foxes
Loyola Maryland Greyhounds,Delaware State Hornets
Massachusetts Minutemen,Harvard Crimson
Maryland Eastern Shore Hawks,Longwood Lancers
Miami (FL) Hurricanes,Stephen F. Austin Lumberjacks
UNCW Seahawks,UNCG Spartans
Oakland Golden Grizzlies,Western Michigan Broncos
Penn Quakers,Lafayette Leopards
Texas State Bobcats,Hardin-Simmons Cowboys
Chattanooga Mocs,Cumberland University Phoenix
Wagner Seahawks,SUNY-Cortland Red Dragons
Winthrop Eagles,Pfeiffer Falcons
Wofford Terriers,Carver College Cougars
Purdue Fort Wayne Mastodons,Manchester Spartans
Savannah State Tigers,Tennessee Tech Golden Eagles
Charleston Southern Buccaneers,South Carolina State Bulldogs
Fairfield Stags,LIU Brooklyn Blackbirds
Illinois State Redbirds,Chicago State Cougars
Oral Roberts Golden Eagles,California Baptist Lancers
Saint Louis Billikens,North Alabama Lions
Tennessee State Tigers,Little Rock Trojans
Liberty Flames,Trevecca Nazarene Trojans
BYU Cougars,Northwestern State Demons
Loyola Marymount Lions,CSUN Matadors
New Mexico Lobos,Iona Gaels
Northern Colorado Bears,Pepperdine Waves
Utah State Aggies,Mississippi Valley State Delta Devils
Idaho Vandals,Nicholls Colonels
UNLV Runnin' Rebels,UC Riverside Highlanders
Pacific Tigers,Cal State-Stanislaus Warriors
UC Santa Barbara Gauchos,Cal Lutheran Kingsmen
Richmond Spiders,St. Francis Brooklyn Terriers
Villanova Wildcats,Michigan Wolverines
Colgate Raiders,Nazareth College Golden Flyers
Citadel Bulldogs,Johnson (FL) Suns
Drexel Dragons,Bryn Athyn Lions
Fairleigh Dickinson Knights,Queens College Knights
Hofstra Pride,North Carolina A&T Aggies
Indiana State Sycamores,McKendree Bearcats
Navy Midshipmen,Coppin State Eagles
North Florida Ospreys,Edward Waters Tigers
Vermont Catamounts,Northern Vermont Hornets
VMI Keydets,USC Upstate Spartans
Wright State Raiders,Toledo Rockets
NJIT Highlanders,Kean Cougars
Bryant Bulldogs,Saint Peter's Peacocks
Robert Morris Colonials,Mount Aloysius Mounties
Samford Bulldogs,Miles Golden Bears
Albany Great Danes,Boston University Terriers
Alabama State Hornets,Birmingham-Southern Panthers
Bradley Braves,Jacksonville State Gamecocks
Loyola Chicago Ramblers,Niagara Purple Eagles
UT Rio Grande Valley Vaqueros,Prairie View A&M Panthers
Western Illinois Leathernecks,Dominican (IL) Stars
Omaha Mavericks,Northern Arizona Lumberjacks
Colorado State Rams,Montana State Bobcats
New Mexico State Aggies,Saint Mary's Gaels
Wyoming Cowboys,Grambling State Tigers
San Diego State Aztecs,Texas Southern Tigers
Presbyterian Blue Hose,Boyce Bulldogs
Central Michigan Chippewas,Bakersfield Roadrunners
Bethune-Cookman Wildcats,Johnson (FL) Suns
Bowling Green Falcons,North Carolina Central Eagles
Cornell Big Red,Delaware Fightin' Blue Hens
Evansville Aces,Kentucky Wesleyan Panthers
Elon Phoenix,Milligan Buffaloes
Furman Paladins,North Greenville Crusaders
Morgan State Bears,Lincoln (PA) Lions
Tennessee State Tigers,Carver College Cougars
Quinnipiac Bobcats,Hartford Hawks
Lipscomb Bisons,Belmont Bruins
West Virginia Mountaineers,Monmouth Hawks
UIC Flames,William & Mary Tribe
Weber State Wildcats,San Jose State Spartans
BYU Cougars,Oral Roberts Golden Eagles
Denver Pioneers,Abilene Christian Wildcats
Idaho State Bengals,Pacific Tigers
Iowa Hawkeyes,Oregon Ducks
California Golden Bears,Detroit Titans
San Diego Toreros,San Diego Christian Hawks
Santa Clara Broncos,UC Irvine Anteaters
UIW Cardinals,Montana Grizzlies
Central Connecticut State Blue Devils,Austin Peay Governors
Campbell Fighting Camels,Florida A&M Rattlers
North Dakota State Bison,Miami (OH) RedHawks
UMBC Retrievers,Air Force Falcons
Manhattan Jaspers,Coastal Carolina Chanticleers
Army West Point Black Knights,Sacred Heart Pioneers
Southeast Missouri State Redhawks,Jacksonville Dolphins
UMKC Kangaroos,Morehead State Eagles
Penn Quakers,UNI Panthers
Holy Cross Crusaders,Stony Brook Seawolves
South Dakota Coyotes,High Point Panthers
Monmouth Hawks,Valparaiso Crusaders
Akron Zips,Chicago State Cougars
American University Eagles,New Hampshire Wildcats
Cleveland State Vikings,South Carolina State Bulldogs
Dayton Flyers,Purdue Fort Wayne Mastodons
Fairleigh Dickinson Knights,NYIT Bears
Kent State Golden Flashes,Liberty Flames
Maryland Terrapins,Hofstra Pride
Massachusetts Minutemen,Howard Bison
Mercer Bears,UT Martin Skyhawks
UNCG Spartans,Johnson & Wales (NC) Wildcats
Rhode Island Rams,Harvard Crimson
Richmond Spiders,IUPUI Jaguars
Savannah State Tigers,Gardner-Webb Runnin' Bulldogs
Longwood Lancers,Delaware State Hornets
Northern Kentucky Norse,UNC Asheville Bulldogs
Brown Bears,Massachusetts-Lowell River Hawks
McNeese State Cowboys,Loyola (LA) Wolfpack
Loyola Chicago Ramblers,Grambling State Tigers
Murray State Racers,Spalding Golden Eagles
Pepperdine Waves,Towson Tigers
UT Arlington Mavericks,Texas A&M-Corpus Christi Islanders
FGCU Eagles,South Dakota State Jackrabbits
Eastern Washington Eagles,Green Bay Phoenix
South Alabama Jaguars,Chattanooga Mocs
Central Michigan Chippewas,Weber State Wildcats
Lehigh Mountain Hawks,Princeton Tigers
Siena Saints,Norfolk State Spartans
Youngstown State Penguins,Columbia Lions
Grand Canyon Antelopes,Arkansas State Red Wolves
San Francisco Dons,Arizona State Sun Devils
Utah State Aggies,Utah Valley Wolverines
Wyoming Cowboys,Niagara Purple Eagles
Sacramento State Hornets,Cal Poly Mustangs
Boise State Broncos,Jackson State Tigers
UNLV Runnin' Rebels,Oakland Golden Grizzlies
Stanford Cardinal,Wofford Terriers
North Dakota State Bison,UIW Cardinals
Duquesne Dukes,Radford Highlanders
Fairfield Stags,Wagner Seahawks
Western Michigan Broncos,Aquinas College Saints
Eastern Michigan Eagles,Boston University Terriers
Winthrop Eagles,East Tennessee State Buccaneers
Drake Bulldogs,Texas State Bobcats
Lamar Cardinals,Prairie View A&M Panthers
Northern Illinois Huskies,Illinois Tech Scarlet Hawks
Wright State Raiders,North Florida Ospreys
Texas A&M-Corpus Christi Islanders,UC Davis Aggies
Army West Point Black Knights,Massachusetts-Lowell River Hawks
Canisius Golden Griffins,Albany Great Danes
Fordham Rams,Youngstown State Penguins
George Mason Patriots,Southern University Jaguars
La Salle Explorers,Drexel Dragons
Western Carolina Catamounts,Hiwassee College Tigers
NJIT Highlanders,Cornell Big Red
North Dakota Fighting Hawks,Minnesota-Morris Cougars
Green Bay Phoenix,Morehead State Eagles
Coastal Carolina Chanticleers,UNC Asheville Bulldogs
Miami (OH) RedHawks,Montana Grizzlies
UC Santa Barbara Gauchos,Montana State Bobcats
Southeastern Louisiana Lions,Stetson Hatters
Eastern Kentucky Colonels,UNI Panthers
Southeast Missouri State Redhawks,Chattanooga Mocs
Brown Bears,Sacred Heart Pioneers
BYU Cougars,Alabama A&M Bulldogs
New Mexico Lobos,New Mexico State Aggies
Bakersfield Roadrunners,San Jose State Spartans
Eastern Washington Eagles,UMKC Kangaroos
Robert Morris Colonials,Mississippi Valley State Delta Devils
UC Riverside Highlanders,California Merced Bobcats
Northern Kentucky Norse,Manhattan Jaspers
Eastern Illinois Panthers,Western Illinois Leathernecks
UIC Flames,Bradley Braves
Pepperdine Waves,Georgia Southern Eagles
South Alabama Jaguars,Jacksonville Dolphins
Southern Illinois Salukis,UAPB Golden Lions
Tennessee State Tigers,Fisk University Bulldogs
UMBC Retrievers,High Point Panthers
Norfolk State Spartans,Stony Brook Seawolves
CSUN Matadors,Portland Pilots
Portland State Vikings,Willamette Bearcats
Appalachian State Mountaineers,Ball State Cardinals
Siena Saints,Holy Cross Crusaders
Towson Tigers,North Dakota State Bison
Evansville Aces,Texas Southern Tigers
UT Arlington Mavericks,UC Davis Aggies
Monmouth Hawks,Cal State Fullerton Titans
Massachusetts-Lowell River Hawks,Sacred Heart Pioneers
Delaware Fightin' Blue Hens,Wilmington (DE) Wildcats
Lafayette Leopards,St. Francis Brooklyn Terriers
Navy Midshipmen,Bryant Bulldogs
UNCW Seahawks,Allen Yellow Jackets
North Carolina Central Eagles,Warren Wilson Owls
Troy Trojans,Central Arkansas Bears
Campbell Fighting Camels,Austin Peay Governors
Manhattan Jaspers,UNC Asheville Bulldogs
South Dakota Coyotes,Air Force Falcons
Brown Bears,Army West Point Black Knights
Kent State Golden Flashes,Alcorn State Braves
Seattle Redhawks,Southern Utah Thunderbirds
Chattanooga Mocs,Jacksonville Dolphins
Cleveland State Vikings,Samford Bulldogs
Fordham Rams,Columbia Lions
Idaho Vandals,Bethesda Flames
Central Michigan Chippewas,San Jose State Spartans
Davidson Wildcats,Northeastern Huskies
Michigan State Spartans,Tennessee Tech Golden Eagles
Pepperdine Waves,Miami (OH) RedHawks
Loyola Marymount Lions,Ohio Bobcats
Northern Kentucky Norse,Coastal Carolina Chanticleers
Georgia Southern Eagles,Montana Grizzlies
San Francisco Dons,LIU Brooklyn Blackbirds
Weber State Wildcats,Bakersfield Roadrunners
Central Connecticut State Blue Devils,Florida A&M Rattlers
Hawaii Rainbow Warriors,Northern Arizona Lumberjacks
Eastern Kentucky Colonels,Kennesaw State Owls
Utah Valley Wolverines,Hartford Hawks
Sam Houston State Bearkats,Jackson State Tigers
Colorado State Rams,Louisiana Ragin' Cajuns
Georgia State Panthers,St. Bonaventure Bonnies
Long Beach State 49ers,Iona Gaels
Hampton Pirates,Bowling Green Falcons
High Point Panthers,Air Force Falcons
Richmond Spiders,Loyola Chicago Ramblers
Colgate Raiders,Binghamton Bearcats
Delaware State Hornets,College of Saint Elizabeth Eagles
East Tennessee State Buccaneers,Chicago State Cougars
Massachusetts Minutemen,UAPB Golden Lions
UNCG Spartans,Prairie View A&M Panthers
Oakland Golden Grizzlies,Defiance Yellow Jackets
Rider Broncs,Coppin State Eagles
Rutgers Scarlet Knights,Eastern Michigan Eagles
Stetson Hatters,Robert Morris Colonials
Albany Great Danes,SUNY-Oneonta Red Dragons
Charleston Southern Buccaneers,Trinity Baptist Eagles
Detroit Titans,Loyola Maryland Greyhounds
FGCU Eagles,Toledo Rockets
Lamar Cardinals,Arlington Baptist Patriots
Oral Roberts Golden Eagles,Ecclesia Royals
Southern Illinois Salukis,Howard Bison
South Alabama Jaguars,Southeast Missouri State Redhawks
Saint Mary's Gaels,Utah State Aggies
South Dakota Coyotes,UMBC Retrievers
Idaho State Bengals,Bethesda Flames
Portland Pilots,Lewis & Clark Pioneers
Illinois State Redbirds,Akron Zips
Jacksonville State Gamecocks,Western Carolina Catamounts
FGCU Eagles,Colorado State Rams
Chicago State Cougars,Jackson State Tigers
Boise State Broncos,St. Bonaventure Bonnies
Loyola Maryland Greyhounds,Hampton Pirates
Coastal Carolina Chanticleers,Methodist Monarchs
East Tennessee State Buccaneers,Sam Houston State Bearkats
George Mason Patriots,North Carolina Central Eagles
James Madison Dukes,Citadel Bulldogs
Kent State Golden Flashes,Savannah State Tigers
Mercer Bears,Maryland Eastern Shore Hawks
Mississippi Valley State Delta Devils,Southeastern Louisiana Lions
Morgan State Bears,Navy Midshipmen
New Hampshire Wildcats,Quinnipiac Bobcats
VMI Keydets,Kentucky Christian Knights
Wagner Seahawks,NJIT Highlanders
William & Mary Tribe,Radford Highlanders
Purdue Fort Wayne Mastodons,South Carolina State Bulldogs
Norfolk State Spartans,Regent Royals
Albany Great Danes,Holy Cross Crusaders
North Alabama Lions,Martin Methodist RedHawks
Belmont Bruins,Trevecca Nazarene Trojans
Detroit Titans,Bowling Green Falcons
McNeese State Cowboys,Mobile Rams
Toledo Rockets,Louisiana Ragin' Cajuns
Bethune-Cookman Wildcats,Omaha Mavericks
Milwaukee Panthers,LIU Brooklyn Blackbirds
North Dakota Fighting Hawks,Concordia (NE) Bulldogs
Grambling State Tigers,Champion Baptist College Tigers
Stephen F. Austin Lumberjacks,Marist Red Foxes
UNLV Runnin' Rebels,Pacific Tigers
CSUN Matadors,Tennessee State Tigers
Sacramento State Hornets,UC Davis Aggies
St. Bonaventure Bonnies,Akron Zips
Boise State Broncos,Illinois State Redbirds
Colorado State Rams,South Dakota State Jackrabbits
Iona Gaels,Hartford Hawks
Brown Bears,Salve Regina Seahawks
Drexel Dragons,Boston University Terriers
North Florida Ospreys,Jacksonville State Gamecocks
UT Martin Skyhawks,Western Illinois Leathernecks
Long Beach State 49ers,Utah Valley Wolverines
Mount St. Mary's Mountaineers,North Carolina A&T Aggies
Wyoming Cowboys,Richmond Spiders
Siena Saints,Lehigh Mountain Hawks
Stony Brook Seawolves,Molloy Lions
Furman Paladins,Southern Wesleyan Warriors
Hofstra Pride,Cal State Fullerton Titans
Jacksonville Dolphins,Florida Memorial Lions
UMKC Kangaroos,Drake Bulldogs
Princeton Tigers,Fairleigh Dickinson Knights
Vermont Catamounts,Yale Bulldogs
Wofford Terriers,Coppin State Eagles
Youngstown State Penguins,Westminster (PA) Titans
Army West Point Black Knights,SUNY-Maritime Privateers
Boston College Eagles,Loyola Chicago Ramblers
Cal Poly Mustangs,Texas State Bobcats
Toledo Rockets,UC Irvine Anteaters
New Mexico State Aggies,Eastern New Mexico Greyhounds
Valparaiso Crusaders,SIUE Cougars
Texas A&M-Corpus Christi Islanders,St. Mary's (TX) Rattlers
UIW Cardinals,Northern Colorado Bears
Loyola Marymount Lions,Central Connecticut State Blue Devils
Portland Pilots,USC Upstate Spartans
San Francisco Dons,Harvard Crimson
Massachusetts Minutemen,Southern Illinois Salukis
Pacific Tigers,UC Riverside Highlanders
Abilene Christian Wildcats,Elon Phoenix
Northern Illinois Huskies,Oral Roberts Golden Eagles
Western Michigan Broncos,Southern University Jaguars
Stetson Hatters,VMI Keydets
Wofford Terriers,Mars Hill Lions
UAPB Golden Lions,California Baptist Lancers
Liberty Flames,Alcorn State Braves
Massachusetts-Lowell River Hawks,Massachusetts-Boston Beacons
Oakland Golden Grizzlies,James Madison Dukes
North Carolina Central Eagles,Nicholls Colonels
Seattle Redhawks,Denver Pioneers
Charleston Southern Buccaneers,Coppin State Eagles
Michigan Wolverines,Chattanooga Mocs
Niagara Purple Eagles,Grambling State Tigers
Eastern Illinois Panthers,Gardner-Webb Runnin' Bulldogs
Little Rock Trojans,Howard Bison
Longwood Lancers,Fairfield Stags
Delaware Fightin' Blue Hens,UNCG Spartans
UC Santa Barbara Gauchos,Portland State Vikings
Tennessee Tech Golden Eagles,Louisiana-Monroe Warhawks
Purdue Fort Wayne Mastodons,Samford Bulldogs
IUPUI Jaguars,St. Francis Brooklyn Terriers
Arkansas State Red Wolves,UNCW Seahawks
McNeese State Cowboys,Mississippi College Choctaws
Northwestern State Demons,Alabama A&M Bulldogs
USC Upstate Spartans,Texas State Bobcats
Ohio State Buckeyes,Cleveland State Vikings
UT Rio Grande Valley Vaqueros,Lamar Cardinals
Milwaukee Panthers,Albany Great Danes
Pacific Tigers,Abilene Christian Wildcats
Idaho Vandals,Northwest Nazarene Crusaders
UNLV Runnin' Rebels,Southern Utah Thunderbirds
Portland Pilots,Cal Poly Mustangs
Elon Phoenix,UC Riverside Highlanders
North Carolina Central Eagles,Southern University Jaguars
James Madison Dukes,Northern Illinois Huskies
Troy Trojans,North Alabama Lions
Davidson Wildcats,Northeastern Huskies
UMBC Retrievers,American University Eagles
New Orleans Privateers,Governors State Jaguars
Nicholls Colonels,Western Michigan Broncos
Alcorn State Braves,Savannah State Tigers
Ball State Cardinals,Evansville Aces
Bradley Braves,Chicago State Cougars
Eastern Michigan Eagles,Detroit Titans
Hartford Hawks,Western New England Golden Bears
Howard Bison,California Baptist Lancers
LIU Brooklyn Blackbirds,NJIT Highlanders
Miami (OH) RedHawks,Army West Point Black Knights
Ohio Bobcats,Austin Peay Governors
Penn Quakers,Stockton Ospreys
Rhode Island Rams,Stony Brook Seawolves
Siena Saints,Colgate Raiders
Wagner Seahawks,Rider Broncs
Western Carolina Catamounts,Jacksonville Dolphins
Winthrop Eagles,Warren Wilson Owls
Binghamton Bearcats,Sacred Heart Pioneers
Omaha Mavericks,Montana State Bobcats
Oakland Golden Grizzlies,Oral Roberts Golden Eagles
Denver Pioneers,Longwood Lancers
Illinois State Redbirds,Lindenwood Lions
UMKC Kangaroos,Avila Eagles
Monmouth Hawks,Princeton Tigers
East Tennessee State Buccaneers,North Dakota State Bison
George Washington Colonials,Manhattan Jaspers
Maryland Eastern Shore Hawks,Central Pennsylvania College Knights
Saint Louis Billikens,Central Arkansas Bears
William & Mary Tribe,Saint Joseph's Hawks
IUPUI Jaguars,Grambling State Tigers
Kennesaw State Owls,Belmont Bruins
UIC Flames,Wisconsin-Parkside Rangers
Little Rock Trojans,UAPB Golden Lions
Arkansas State Red Wolves,Eastern Illinois Panthers
San Francisco Dons,Dartmouth Big Green
Cal Poly Mustangs,USC Upstate Spartans
San Jose State Spartans,Santa Clara Broncos
Seattle Redhawks,Fairfield Stags
Utah Valley Wolverines,North Dakota Fighting Hawks
Niagara Purple Eagles,St. Francis Brooklyn Terriers
VCU Rams,Hofstra Pride
Portland State Vikings,Northwest Nazarene Crusaders
Gardner-Webb Runnin' Bulldogs,UNCW Seahawks
Murray State Racers,Missouri State Bears
Portland Pilots,Texas State Bobcats
Abilene Christian Wildcats,UC Riverside Highlanders
Saint Mary's Gaels,Harvard Crimson
Idaho Vandals,UC Santa Barbara Gauchos
San Diego Toreros,Jackson State Tigers
Sacramento State Hornets,Cal State Fullerton Titans
Loyola Marymount Lions,Florida A&M Rattlers
Pacific Tigers,Elon Phoenix
Oral Roberts Golden Eagles,James Madison Dukes
Central Michigan Chippewas,Siena Heights Saints
Duquesne Dukes,Massachusetts-Lowell River Hawks
Eastern Illinois Panthers,UNCW Seahawks
Morgan State Bears,Mount St. Mary's Mountaineers
Columbia Lions,St. Joseph's (NY-Brooklyn) Bears
Fordham Rams,Alabama A&M Bulldogs
Liberty Flames,Savannah State Tigers
Vermont Catamounts,Bucknell Bison
Quinnipiac Bobcats,Maine Black Bears
Morehead State Eagles,Lipscomb Bisons
Oakland Golden Grizzlies,Northern Illinois Huskies
Bowling Green Falcons,Drexel Dragons
Denver Pioneers,Fairfield Stags
Fairleigh Dickinson Knights,Lafayette Leopards
SIUE Cougars,UIW Cardinals
Arkansas State Red Wolves,Gardner-Webb Runnin' Bulldogs
Central Connecticut State Blue Devils,Pine Manor Gators
UNC Asheville Bulldogs,Furman Paladins
Hawaii Rainbow Warriors,Fresno State Bulldogs
Cleveland State Vikings,Purdue Fort Wayne Mastodons
Stephen F. Austin Lumberjacks,St. Edwards Hilltoppers
Brown Bears,Bryant Bulldogs
Richmond Spiders,Hampton Pirates
Seattle Redhawks,Longwood Lancers
Towson Tigers,Loyola Maryland Greyhounds
USC Trojans,Bakersfield Roadrunners
Samford Bulldogs,South Carolina State Bulldogs
Grand Canyon Antelopes,La Salle Explorers
Appalachian State Mountaineers,Winston-Salem State Rams
Bethune-Cookman Wildcats,Stetson Hatters
Radford Highlanders,Glenville State Pioneers
Southeastern Louisiana Lions,Louisiana College Wildcats
UT Rio Grande Valley Vaqueros,Texas A&M-Corpus Christi Islanders
Pepperdine Waves,Idaho State Bengals
Saint Francis U Red Flash,Bloomsburg Huskies
Sacred Heart Pioneers,Hartford Hawks
Abilene Christian Wildcats,Howard Payne Yellow Jackets
Ball State Cardinals,Tiffin Dragons
Citadel Bulldogs,High Point Panthers
Elon Phoenix,Central Pennsylvania College Knights
Georgia Southern Eagles,East Tennessee State Buccaneers
Southern University Jaguars,Wiley Wildcats
Mercer Bears,Brewton-Parker College Barons
UNCG Spartans,Greensboro Pride
Ohio Bobcats,Iona Gaels
Chattanooga Mocs,Hiwassee College Tigers
VMI Keydets,American University Eagles
Wright State Raiders,Cedarville Yellow Jackets
Norfolk State Spartans,Stony Brook Seawolves
Delaware State Hornets,Penn Quakers
Northwestern State Demons,Louisiana-Monroe Warhawks
Southeast Missouri State Redhawks,Missouri Science & Technology Miners
Morehead State Eagles,Northern Kentucky Norse
Drake Bulldogs,Boise State Broncos
Colorado State Rams,Southern Illinois Salukis
Montana State Bobcats,North Dakota Fighting Hawks
Washington Huskies,Eastern Washington Eagles
Weber State Wildcats,Benedictine Mesa Redhawks
Idaho Vandals,West Coast Baptist Eagles
San Diego State Aztecs,Jackson State Tigers
Jacksonville State Gamecocks,Carver College Cougars
Akron Zips,Alabama State Hornets
Bucknell Bison,Northeastern Huskies
Charleston Cougars,South Carolina State Bulldogs
Detroit Titans,Kent State Golden Flashes
Drexel Dragons,NJIT Highlanders
Evansville Aces,Wyoming Cowboys
George Washington Colonials,Vermont Catamounts
George Mason Patriots,Morgan State Bears
Harvard Crimson,Holy Cross Crusaders
Hofstra Pride,Siena Saints
Lafayette Leopards,Cornell Big Red
Maine Black Bears,Princeton Tigers
Massachusetts Minutemen,Quinnipiac Bobcats
Navy Midshipmen,Liberty Flames
New Hampshire Wildcats,Boston University Terriers
Presbyterian Blue Hose,St. Francis Brooklyn Terriers
Rhode Island Rams,Brown Bears
Robert Morris Colonials,Youngstown State Penguins
St. Bonaventure Bonnies,Canisius Golden Griffins
Saint Joseph's Hawks,UIC Flames
Tennessee Tech Golden Eagles,Winthrop Eagles
Toledo Rockets,North Alabama Lions
North Carolina Central Eagles,Christendom College Crusaders
IUPUI Jaguars,Bradley Braves
USC Upstate Spartans,Gardner-Webb Runnin' Bulldogs
Bryant Bulldogs,Yale Bulldogs
Army West Point Black Knights,Binghamton Bearcats
Sam Houston State Bearkats,Central Michigan Chippewas
Eastern Illinois Panthers,Purdue Fort Wayne Mastodons
Illinois State Redbirds,BYU Cougars
Mississippi Valley State Delta Devils,Rust College Bearcats
New Orleans Privateers,Louisiana Ragin' Cajuns
Nicholls Colonels,Spring Hill Badgers
Western Illinois Leathernecks,SIUE Cougars
Green Bay Phoenix,Northern Illinois Huskies
Central Arkansas Bears,Little Rock Trojans
South Dakota State Jackrabbits,UMKC Kangaroos
Denver Pioneers,Northern Colorado Bears
Utah State Aggies,UNI Panthers
Utah Valley Wolverines,Western State Mountaineers
Air Force Falcons,Missouri State Bears
Fresno State Bulldogs,Pacific Tigers
San Jose State Spartans,Indiana State Sycamores
Seattle Redhawks,Northwest University Eagles
Saint Mary's Gaels,UC Irvine Anteaters
UNLV Runnin' Rebels,Valparaiso Crusaders
Dartmouth Big Green,Marist Red Foxes
Albany Great Danes,LIU Brooklyn Blackbirds
Campbell Fighting Camels,Trinity Baptist Eagles
James Madison Dukes,Coppin State Eagles
Norfolk State Spartans,Hampton Pirates
North Carolina A&T Aggies,Central Connecticut State Blue Devils
Samford Bulldogs,Belmont Bruins
Chicago State Cougars,East-West University Phantoms
Troy Trojans,Austin Peay Governors
North Florida Ospreys,Florida A&M Rattlers
Southern Utah Thunderbirds,San Diego Christian Hawks
Texas Southern Tigers,Huston-Tillotson Rams
Idaho State Bengals,Montana-Western Bulldogs
UC Davis Aggies,Northern Arizona Lumberjacks
Loyola Marymount Lions,Bethesda Flames
UC Santa Barbara Gauchos,Sacramento State Hornets
Santa Clara Broncos,Jackson State Tigers
UC Riverside Highlanders,California Baptist Lancers
Buffalo Bulls,Milwaukee Panthers
Stephen F. Austin Lumberjacks,San Francisco Dons
Morehead State Eagles,Ohio Chillicothe Hilltoppers
Albany Great Danes,Dartmouth Big Green
LIU Brooklyn Blackbirds,Marist Red Foxes
American University Eagles,Wagner Seahawks
Maryland Eastern Shore Hawks,Delaware Fightin' Blue Hens
Saint Francis U Red Flash,Niagara Purple Eagles
Towson Tigers,Vermont Catamounts
Northern Kentucky Norse,UMBC Retrievers
Stephen F. Austin Lumberjacks,Milwaukee Panthers
Alcorn State Braves,Rust College Bearcats
Army West Point Black Knights,Fairfield Stags
Citadel Bulldogs,Mercer Bears
Loyola Maryland Greyhounds,Mount St. Mary's Mountaineers
IUPUI Jaguars,Ball State Cardinals
North Alabama Lions,Jacksonville State Gamecocks
Bryant Bulldogs,New Hampshire Wildcats
Holy Cross Crusaders,Fairleigh Dickinson Knights
Bucknell Bison,Monmouth Hawks
Drexel Dragons,Robert Morris Colonials
Evansville Aces,Albion Britons
Elon Phoenix,Boston University Terriers
Hartford Hawks,Bowling Green Falcons
Indiana State Sycamores,Wright State Raiders
Lehigh Mountain Hawks,Arkansas State Red Wolves
Miami (OH) RedHawks,Wilberforce Bulldogs
Chattanooga Mocs,Tennessee Tech Golden Eagles
Toledo Rockets,Cleveland State Vikings
Western Michigan Broncos,USC Upstate Spartans
Green Bay Phoenix,Belmont Bruins
Purdue Fort Wayne Mastodons,UMKC Kangaroos
High Point Panthers,Eastern Kentucky Colonels
Binghamton Bearcats,Hartwick Hawks
Kennesaw State Owls,Hofstra Pride
Massachusetts-Lowell River Hawks,NJIT Highlanders
Fresno State Bulldogs,Cal Poly Mustangs
Illinois State Redbirds,San Diego State Aztecs
Northeastern Huskies,Eastern Michigan Eagles
Siena Saints,Harvard Crimson
Saint Peter's Peacocks,Maine Black Bears
UT Arlington Mavericks,UT Rio Grande Valley Vaqueros
Gardner-Webb Runnin' Bulldogs,Savannah State Tigers
SIUE Cougars,Southern Illinois Salukis
Chicago State Cougars,Eastern Illinois Panthers
Longwood Lancers,VMI Keydets
Little Rock Trojans,Sam Houston State Bearkats
Furman Paladins,Western Carolina Catamounts
Kent State Golden Flashes,Norfolk State Spartans
Navy Midshipmen,Brown Bears
North Carolina A&T Aggies,Presbyterian Blue Hose
Princeton Tigers,George Washington Colonials
St. Bonaventure Bonnies,Delaware State Hornets
William & Mary Tribe,George Mason Patriots
Hampton Pirates,Regent Royals
North Dakota Fighting Hawks,Idaho Vandals
UIC Flames,Loyola Chicago Ramblers
North Carolina Central Eagles,McNeese State Cowboys
South Dakota Coyotes,Bakersfield Roadrunners
Akron Zips,Detroit Titans
Charleston Southern Buccaneers,North Florida Ospreys
Jacksonville Dolphins,South Carolina State Bulldogs
Liberty Flames,Georgia State Panthers
Wyoming Cowboys,Northern Colorado Bears
North Dakota State Bison,Drake Bulldogs
Manhattan Jaspers,Fordham Rams
UNCW Seahawks,Davidson Wildcats
Santa Clara Broncos,Northern Arizona Lumberjacks
VCU Rams,Iona Gaels
Wofford Terriers,East Tennessee State Buccaneers
Alabama A&M Bulldogs,Austin Peay Governors
Stony Brook Seawolves,Quinnipiac Bobcats
Southeast Missouri State Redhawks,Western Illinois Leathernecks
Bradley Braves,New Mexico Lobos
Murray State Racers,Prairie View A&M Panthers
Pepperdine Waves,Abilene Christian Wildcats
Seattle Redhawks,Eastern Washington Eagles
Louisiana Ragin' Cajuns,Southern University Jaguars
